COUNTRY,YEAR,POPULATION,GDP,BIOFUEL_CONSUMPTION,COAL_CONSUMPTION,FOSSIL_FUEL_CONSUMPTION,GAS_CONSUMPTION,HYDRO_CONSUMPTION,NUCLEAR_CONSUMPTION,OIL_CONSUMPTION,PRIMARY_ENERGY_CONSUMPTION,SOLAR_CONSUMPTION,WIND_CONSUMPTION
Sweden,1965,7732959.0,133326422016.0,0.0,25.927,255.63,0.0,128.953,0.05,229.703,392.954,0.0,0.0
Sweden,1966,7805532.0,136109056000.0,0.0,24.74,284.397,0.0,126.358,0.125,259.657,419.035,0.0,0.0
Sweden,1967,7866351.0,140703449088.0,0.0,24.557,283.337,0.0,136.906,0.139,258.78,429.217,0.0,0.0
Sweden,1968,7912065.0,145802330112.0,0.0,21.454,314.164,0.0,135.386,0.064,292.71,458.35,0.0,0.0
Sweden,1969,7967962.0,153105121280.0,0.0,20.949,334.464,0.0,116.194,0.169,313.515,458.328,0.0,0.0
Sweden,1970,8042725.0,163023568896.0,0.0,22.13,363.272,0.0,115.247,0.156,341.142,486.529,0.0,0.0
Sweden,1971,8098051.0,164551360512.0,0.0,19.949,340.756,0.0,144.478,0.25,320.807,495.322,0.0,0.0
Sweden,1972,8122375.0,168328445952.0,0.0,17.14,346.425,0.0,149.286,4.069,329.285,510.221,0.0,0.0
Sweden,1973,8137094.0,175018737664.0,0.0,18.945,355.537,0.0,166.311,5.864,336.592,539.842,0.0,0.0
Sweden,1974,8160592.0,180619247616.0,0.0,20.93,323.249,0.0,159.069,5.706,302.319,499.548,0.0,0.0
Sweden,1975,8192612.0,185219153920.0,0.0,22.575,324.06,0.0,160.133,33.247,301.485,529.476,0.0,0.0
Sweden,1976,8222333.0,187173830656.0,0.0,21.671,354.098,0.0,152.311,44.425,332.426,562.746,0.0,0.0
Sweden,1977,8251652.0,184201150464.0,0.0,17.202,339.532,0.0,148.597,55.314,322.331,555.369,0.0,0.0
Sweden,1978,8275740.0,187418296320.0,0.0,17.646,406.708,0.0,160.425,66.058,389.062,645.843,0.0,0.0
Sweden,1979,8293702.0,194618703872.0,0.0,20.847,439.693,0.0,169.667,58.442,418.846,681.112,0.0,0.0
Sweden,1980,8310408.0,197852790784.0,0.0,19.869,389.495,0.0,163.522,73.578,369.626,641.029,0.0,0.0
Sweden,1981,8320408.0,197824643072.0,0.0,17.085,349.543,0.0,165.981,104.664,332.458,636.087,0.0,0.0
Sweden,1982,8325131.0,199816642560.0,0.0,19.01,328.078,0.0,152.961,108.458,309.068,604.897,0.0,0.0
Sweden,1983,8328877.0,203327553536.0,0.0,23.823,292.482,0.0,176.511,113.9,268.659,601.358,0.0,0.008
Sweden,1984,8336441.0,211401310208.0,0.0,28.747,285.453,0.0,188.628,141.461,256.706,636.668,0.0,0.014
Sweden,1985,8350190.0,215471751168.0,0.0,33.841,309.777,0.714,197.189,162.669,275.222,691.626,0.0,0.017
Sweden,1986,8369633.0,220206333952.0,0.0,36.079,331.904,1.88,169.258,194.308,293.945,716.907,0.0,0.017
Sweden,1987,8397600.0,226880372736.0,0.0,35.624,291.923,2.511,199.594,187.181,253.788,701.871,0.0,0.017
Sweden,1988,8436315.0,231720042496.0,0.0,34.972,275.764,3.229,194.119,192.844,237.564,685.929,0.0,0.014
Sweden,1989,8492778.0,237234962432.0,0.0,32.973,265.51,4.318,199.306,182.231,228.219,670.826,0.0,0.014
Sweden,1990,8558526.0,240234004480.0,0.0,34.457,230.102,6.01,201.414,189.403,189.635,644.207,0.0,0.017
Sweden,1991,8616913.0,237950140416.0,0.0,33.637,231.322,6.421,175.692,213.225,191.265,642.135,0.0,0.036
Sweden,1992,8667529.0,235756847104.0,0.0,31.321,246.283,7.247,206.567,176.511,207.715,652.992,0.0,0.086
Sweden,1993,8717989.0,231558414336.0,0.0,31.889,245.129,7.909,207.353,170.542,205.331,647.156,0.003,0.144
Sweden,1994,8780150.0,241524293632.0,0.0,32.364,260.109,7.852,164.158,203.211,219.892,649.779,0.003,0.208
Sweden,1995,8826250.0,251741126656.0,0.0,32.364,259.021,7.86,189.156,194.264,218.797,666.649,0.003,0.292
Sweden,1996,8840281.0,256498925568.0,0.0,35.842,279.286,8.422,143.722,206.317,235.021,650.224,0.003,0.4
Sweden,1997,8845470.0,264171110400.0,0.0,30.626,261.309,8.32,191.822,194.244,222.363,673.384,0.003,0.564
Sweden,1998,8850553.0,276040712192.0,0.0,30.833,265.919,8.246,207.619,204.397,226.84,705.514,0.003,0.856
Sweden,1999,8857642.0,289702805504.0,0.0,29.473,260.699,8.264,199.142,203.3,222.962,690.032,0.003,0.994
Sweden,2000,8872062.0,303452356608.0,0.0,29.838,242.34,8.082,218.289,159.211,204.42,651.783,0.003,1.269
Sweden,2001,8895980.0,308398096384.0,0.172,32.334,246.559,9.118,218.401,199.196,205.107,695.756,0.006,1.331
Sweden,2002,8924991.0,317463789568.0,0.373,34.722,249.531,9.279,181.803,186.605,205.53,649.472,0.005,1.666
Sweden,2003,8958387.0,326402408448.0,0.771,34.043,249.21,9.253,145.886,183.692,205.914,609.237,0.005,1.85
Sweden,2004,8993754.0,341901246464.0,1.467,35.025,248.317,9.212,164.195,210.491,204.079,664.597,0.005,2.304
Sweden,2005,9029713.0,354496937984.0,1.661,32.015,237.69,8.777,194.633,195.405,196.897,673.01,0.005,2.525
Sweden,2006,9080584.0,372234682368.0,2.27,35.35,240.173,9.189,164.748,179.083,195.634,630.143,0.005,2.642
Sweden,2007,9148219.0,387881828352.0,3.126,32.938,233.711,9.483,175.983,178.11,191.29,641.107,0.008,3.808
Sweden,2008,9219853.0,388980506624.0,3.809,32.947,229.168,8.61,182.796,168.573,187.61,638.565,0.011,5.279
Sweden,2009,9298692.0,373026357248.0,3.916,23.227,209.489,11.495,172.02,136.937,174.766,579.813,0.018,6.537
Sweden,2010,9378187.0,399838969856.0,4.096,31.078,228.815,15.468,174.937,150.333,182.269,621.735,0.023,9.079
Sweden,2011,9449207.0,397617922048.0,4.671,27.705,208.531,12.217,173.74,156.672,168.609,612.016,0.034,15.83
